name,attack,base_egg_steps,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,type1,type2,speed,is_legendary
Glalie,120,5120,75.0,80,1000000,80,80,100,ice,,256.5,False
Type: Null,95,30720,3.0,95,1250000,95,95,59,normal,,120.5,False
Maractus,86,5120,255.0,67,1000000,75,67,60,grass,,28.0,False
Phione,80,10240,30.0,80,1250000,80,80,80,water,,3.1,False
Pachirisu,45,2560,200.0,70,1000000,60,90,95,electric,,3.9,False
Marill,20,2560,190.0,50,800000,70,50,40,water,fairy,8.5,False
Cleffa,25,2560,150.0,28,800000,50,55,15,fairy,,3.0,False
Golbat,80,3840,90.0,70,1000000,75,75,90,poison,flying,55.0,False
Pelipper,50,5120,45.0,100,1000000,60,70,65,water,flying,28.0,False
Milotic,60,5120,60.0,79,600000,95,125,81,water,,162.0,False
Giratina,120,30720,3.0,100,1250000,150,100,90,ghost,dragon,750.0,True
Drampa,60,5120,70.0,85,1000000,78,91,36,normal,dragon,185.0,False
Mantyke,20,6400,25.0,50,1250000,45,120,50,water,flying,65.0,False
Numel,60,5120,255.0,40,1000000,60,45,35,fire,ground,24.0,False
Swellow,85,3840,45.0,60,1059860,60,50,125,normal,flying,19.8,False
Shiftry,100,3840,45.0,60,1059860,90,60,80,grass,dark,59.6,False
Chimchar,58,5120,45.0,44,1059860,44,44,61,fire,,6.2,False
Nosepass,45,5120,255.0,135,1000000,30,90,30,rock,,97.0,False
Toxicroak,106,5120,75.0,65,1000000,83,65,85,poison,fighting,44.4,False
Helioptile,38,5120,190.0,33,1000000,44,43,70,electric,normal,6.0,False
Nidorino,72,5120,120.0,57,1059860,61,55,65,poison,,19.5,False
Volcarona,60,10240,15.0,65,1250000,85,105,100,bug,fire,46.0,False
Munchlax,85,10240,50.0,40,1250000,135,85,5,normal,,105.0,False
Metagross,145,10240,3.0,150,1250000,80,110,110,steel,psychic,550.0,False
Goodra,100,10240,45.0,70,1250000,90,150,80,dragon,,150.5,False
Zoroark,105,5120,45.0,60,1059860,60,60,105,dark,,81.1,False
Skarmory,80,6400,25.0,140,1250000,65,70,70,steel,flying,50.5,False
Espeon,65,8960,45.0,60,1000000,65,95,110,psychic,,26.5,False
Azelf,125,20480,3.0,70,1250000,75,70,115,psychic,,0.3,True
Ursaring,130,5120,60.0,75,1000000,90,75,55,normal,,125.8,False
Dragonite,134,10240,45.0,95,1250000,91,100,80,dragon,flying,210.0,False
Mesprit,105,20480,3.0,105,1250000,80,105,80,psychic,,0.3,True
Starly,55,3840,255.0,30,1059860,40,30,60,normal,flying,2.0,False
Frogadier,63,5120,45.0,52,1059860,54,56,97,water,,10.9,False
Voltorb,30,5120,190.0,50,1000000,40,55,100,electric,,10.4,False
Chikorita,49,5120,45.0,65,1059860,45,65,45,grass,,6.4,False
Togepi,20,2560,190.0,65,800000,35,65,20,fairy,,1.5,False
Vanillite,50,5120,255.0,50,1250000,36,60,44,ice,,5.7,False
Breloom,130,3840,90.0,80,1640000,60,60,70,grass,fighting,39.2,False
Inkay,54,5120,190.0,53,1000000,53,46,45,dark,psychic,3.5,False
Stantler,95,5120,45.0,62,1250000,73,65,85,normal,,71.2,False
Cinccino,95,3840,60.0,60,800000,75,60,115,normal,,7.5,False
Lurantis,105,5120,75.0,90,1000000,70,90,45,grass,,18.5,False
Cubone,50,5120,190.0,95,1000000,50,50,35,ground,,6.5,False
Lickilicky,85,5120,30.0,95,1000000,110,95,50,normal,,140.0,False
Cherubi,35,5120,190.0,45,1000000,45,53,35,grass,,3.3,False
Ponyta,85,5120,190.0,55,1000000,50,65,90,fire,,30.0,False
Florges,65,5120,45.0,68,1000000,78,154,75,fairy,,10.0,False
Phanpy,60,5120,120.0,60,1000000,90,40,40,ground,,33.5,False
Cottonee,27,5120,190.0,60,1000000,40,50,66,grass,fairy,0.6,False
Snivy,45,5120,45.0,55,1059860,45,55,63,grass,,8.1,False
Kartana,181,30720,255.0,131,1250000,59,31,109,grass,steel,0.1,True
Seaking,92,5120,60.0,65,1000000,80,80,68,water,,39.0,False
Wobbuffet,33,5120,45.0,58,1000000,190,58,33,psychic,,28.5,False
Servine,60,5120,45.0,75,1059860,60,75,83,grass,,16.0,False
